name,type,chr,strand,rna_probe,rna_start,rna_end,dna_start,dna_end,tss_used,tss_offset,note
E_Srrm4os,E,chr5,+,yes,116404000,116414000,116404000,116414000,,,
P_Srrm4os,P,chr5,+,yes,116438000,116448000,116433720,116443720,116438720,720,
E_Zfp638,E,chr6,+,yes,83887000,83897000,83887000,83897000,,,
P_Zfp638,P,chr6,+,yes,83914000,83924000,83909367,83919367,83914367,367,
P_Cd9,P,chr6,-,yes,125485000,125495000,125489791,125499791,125494791,-209,
E_Abhd17c,E,chr7,+,yes,83877000,83887000,83877000,83887000,,,
P_Abhd17c,P,chr7,-,yes,84142000,84152000,84146893,84156893,84151893,-107,
E_Trim71,E,chr9,-,yes,114496713,114506713,114496713,114506713,,,window expanded 8847bp->10kb
P_Trim71,P,chr9,-,yes,114556300,114564300,114559369,114569369,114564369,69,
E_Mycn,E,chr12,-,yes,12780000,12790000,12780000,12790000,,,
P_Mycn,P,chr12,-,yes,12936093,12941914,12936914,12946914,12941914,0,
E_Lncenc1,E,chr13,+,yes,97430000,97440000,97430000,97440000,,,
P_Lncenc1,P,chr13,+,yes,97482701,97492700,97477701,97487701,97482701,0,
E_Hes1,E,chr16,+,yes,29676000,29686000,29676000,29686000,,,
P_Hes1,P,chr16,+,yes,30065340,30075340,30060340,30070340,30065340,0,
E_Rrp1b,E,chr17,-,yes,31803000,31813000,31803000,31813000,,,
P_Rrp1b,P,chr17,+,yes,32036412,32046412,32031100,32041100,32036100,-312,
E_Gabbr1,E,chr17,+,yes,37074655,37084655,37074655,37084655,,,window expanded 7310bp->10kb
P_Gabbr1,P,chr17,+,yes,37046000,37056000,37041028,37051028,37046028,28,
P_Zfp57,P,chr17,+,yes,37002525,37010632,36997525,37007525,37002525,0,
E_Ccnd3,E,chr17,-,yes,47507000,47517000,47507000,47517000,,,
P_Ccnd3,P,chr17,+,yes,47593470,47599689,47588470,47598470,47593470,0,
P_Bysl,P,chr17,-,yes,47601492,47611492,47606492,47616492,47611492,0,
E_Csnk1a1,E,chr18,+,yes,61620000,61630000,61620000,61630000,,,
P_Csnk1a1,P,chr18,+,yes,61555274,61565274,61550274,61560274,61555274,0,
E_Neat1,E,chr19,+,yes,5802500,5812500,5802500,5812500,,,
P_Neat1,P,chr19,-,yes,5835478,5845478,5840478,5850478,5845478,0,
E2_Klf9,E,chr19,+,yes,23086000,23096000,23086000,23096000,,,
E1_Klf9,E,chr19,+,yes,23129000,23139000,23129000,23139000,,,
P_Klf9,P,chr19,+,yes,23141226,23151226,23136226,23146226,23141226,0,
E_Cd9,E,chr6,+,yes,125407000,125437000,125407000,125437000,,,COORD FIX: single large enhancer over cluster (dropped E1/E2/E3 + shared readout)
E_Klf4,E,chr4,+,yes,55460173,55482053,55460173,55482053,,,"Klf4 E1(69kb,-70%)+E2(55kb,-85%) contiguous ~22kb; E1/E2 resolvable via staged plate-3/4 sub-readouts"
P_Klf4,P,chr4,-,yes,55522466,55532466,55527466,55537466,55532466,0,"NEW pair; Klf4 TSS 55,532,466 (-); RNA=mRNA body [TSS-10k,TSS]"
E1_Car2,E,chr3,+,yes,14992559,15002559,14992559,15002559,,,Car2 proximal enh ~107kb (Hansen); window expanded 8399bp->10kb
E2_Car2,E,chr3,+,yes,15051002,15061002,15051002,15061002,,,Car2 distal enh ~168kb (Hansen); window expanded 2958bp->10kb
P_Car2,P,chr3,+,yes,14886428,14896428,14881428,14891428,14886428,0,"NEW pair; Car2 TSS 14,886,428 (+); RNA=mRNA body [TSS,TSS+10k]"
P_Inhbb,P,chr1,-,yes,119412248,119422248,119417248,119427248,119422248,0,"NEW (Hansen); Inhbb TSS 119,422,248 (-)"
E1_Inhbb,E,chr1,+,yes,119140844,119150844,119140844,119150844,,,Inhbb distal enh ~276kb (Hansen); window expanded 8509bp->10kb
E2_Inhbb,E,chr1,-,yes,119297289,119309265,119297289,119309265,,,Inhbb enh ~119kb (Hansen)
P_Ceacam1,P,chr7,-,yes,25467534,25477534,25472534,25482534,25477534,0,"NEW (Hansen); Ceacam1 TSS 25,477,534 (-)"
E_Ceacam1,E,chr7,-,yes,25430065,25440065,25430065,25440065,,,Ceacam1 enh ~42kb (Hansen); - strand avoids + lncRNA; window expanded 8024bp->10kb
P_Zbtb10,P,chr3,+,yes,9250602,9260602,9245602,9255602,9250602,0,"NEW (Hansen); Zbtb10 TSS 9,250,602 (+)"
E_Zbtb10,E,chr3,-,yes,9077525,9087525,9077525,9087525,,,Zbtb10 enh ~168kb (Hansen); window expanded 3608bp->10kb
P_Prdm14,P,chr1,-,yes,13117163,13127163,13122163,13132163,13127163,0,"NEW (Hansen); Prdm14 TSS 13,127,163 (-)"
E_Prdm14,E,chr1,+,yes,13082457,13097137,13082457,13097137,,,Prdm14 enh ~37kb (Hansen)
P_Sik1,P,chr17,-,yes,31845792,31855792,31850792,31860792,31855792,0,"NEW (Hansen); Sik1 TSS 31,855,792 (-) chr17; shares E_Rrp1b"
